Customer_ID,Order_Date,Product,Unit_Price,Quantity,Total_Revenue,Total_Cost,Profit,Region,Sales_Channel,Payment_Method
CUST_000291,1/1/2022,Camera,647.17,5,3235.85,2362.17,873.68,Middle_East_Africa,Partner,Cash
CUST_000446,1/1/2022,Speaker,110.52,3,331.56,215.51,116.05,Latin_America,Retail_Store,Credit_Card
CUST_000316,1/2/2022,Laptop,2460.43,2,4920.86,3690.64,1230.22,North_America,Retail_Store,PayPal
CUST_000309,1/3/2022,Smartwatch,538.5,2,1077,732.36,344.64,Latin_America,Online,Cash
CUST_002132,1/3/2022,Gaming_Console,360.76,2,721.52,562.79,158.73,Europe,Online,PayPal
CUST_002434,1/4/2022,Camera,510.48,5,2552.4,1863.25,689.15,Europe,Online,Debit_Card
CUST_000796,1/4/2022,Smartwatch,561.78,2,1123.56,764.02,359.54,Europe,Partner,Debit_Card
CUST_000594,1/4/2022,Tablet,509.4,1,509.4,366.77,142.63,Middle_East_Africa,Direct_Sales,Bank_Transfer
CUST_000060,1/5/2022,Camera,493.88,5,2469.4,1802.66,666.74,Latin_America,Retail_Store,PayPal
CUST_000755,1/6/2022,Tablet,315.39,4,1261.56,908.32,353.24,Europe,Retail_Store,Cash
CUST_000737,1/6/2022,Gaming_Console,350.56,2,701.12,546.87,154.25,Asia_Pacific,Direct_Sales,PayPal
CUST_001266,1/7/2022,Gaming_Console,482.27,3,1446.81,1128.51,318.3,Latin_America,Partner,Debit_Card
CUST_000864,1/7/2022,Gaming_Console,361.45,4,1445.8,1127.72,318.08,North_America,Partner,Cash
CUST_001290,1/7/2022,Speaker,142.5,2,285,185.25,99.75,Europe,Direct_Sales,Credit_Card
CUST_000715,1/8/2022,Smartwatch,340.5,1,340.5,231.54,108.96,Latin_America,Direct_Sales,PayPal
CUST_000040,1/9/2022,Laptop,1393.66,3,4180.98,3135.73,1045.25,Latin_America,Direct_Sales,Credit_Card
CUST_000923,1/10/2022,Gaming_Console,442.98,2,885.96,691.05,194.91,Latin_America,Direct_Sales,Bank_Transfer
CUST_000532,1/12/2022,Camera,574.49,2,1148.98,838.76,310.22,Europe,Direct_Sales,Debit_Card
CUST_000350,1/12/2022,Speaker,131.25,4,525,341.25,183.75,Middle_East_Africa,Partner,Bank_Transfer
CUST_000895,1/12/2022,Laptop,1015.81,2,2031.62,1523.71,507.91,North_America,Direct_Sales,Credit_Card
CUST_001672,1/12/2022,Laptop,1423.9,2,2847.8,2135.85,711.95,Asia_Pacific,Retail_Store,Bank_Transfer
